Date,BANF,BOKF,CADE,COF,C,CMA,DFS,EWBC,FITB,FCNCA,FHN,GS,HWC,HBAN,JPM,KEY,MS,NTRS,PNC,RF,STT,SNV,USB,WBS,WFC,ZION,SYF,ALLY,SCHW,BK,SSB,TFC,VLY,WASH,HTBK,MBWM,OSBC,GSBC,CAC,GABC,TRST,CHCO,BRKL,PGC,WABC,LKFN,MOFG,RBCAA,MCB,UNTY,MCBC,NRIM,ISTR,PCB,GNTY,ORRF,FCBC,BHB,SFST,BAC,AXP,CFG,MTB,RJF,WAL,BPOP,WTFC,COLB,CFR,ONB,PNFP,FNB,UMBF,ASB,PB,BANC,SF,BKU,CBSH,FIBK,UBSI,TCBI,GBCI,SFNC,UCBI,FHB,BOH,CATY,HOMB,WAFD,AX,CUBI,AUB,WSFS,HTLF,INDB,HOPE,IBTX,PPBI
2018-02-28 00:00:00-05:00,46.30116653442383,79.88460540771484,24.740341186523438,87.02790832519531,60.44291687011719,72.81790161132812,67.86556243896484,56.33128356933594,25.824691772460938,398.5022277832031,14.85485553741455,227.29791259765625,43.16886901855469,11.642961502075195,95.83802032470703,15.759310722351074,46.28316116333008,87.51872253417969,125.58382415771484,15.140962600708008,86.88845825195312,38.596736907958984,42.30878829956055,43.77666473388672,48.40558624267578,44.769107818603516,30.669599533081055,23.222557067871094,48.51437759399414,47.582767486572266,73.99408721923828,41.5081672668457,9.411593437194824,37.31706619262695,11.572288513183594,25.36134147644043,12.984763145446777,39.33036804199219,33.17028045654297,28.24403190612793,32.6226806640625,55.52406692504883,12.372456550598145,31.470815658569336,47.2578010559082,38.637115478515625,25.657466888427734,30.892274856567383,44.41999816894531,18.550230026245117,8.021060943603516,25.713815689086914,21.81193733215332,,30.06307601928711,20.012615203857422,21.296998977661133,21.375892639160156,42.150001525878906,27.545705795288086,88.97161865234375,33.19834899902344,155.77999877929688,55.83905792236328,52.40602493286133,34.81692123413086,75.88452911376953,31.615903854370117,85.98426818847656,13.733489990234375,60.016265869140625,10.710705757141113,64.88945007324219,19.351940155029297,61.9643669128418,17.302871704101562,38.82240676879883,32.87744903564453,44.96744918823242,29.22321319580078,27.13494110107422,90.19999694824219,31.65265655517578,23.061370849609375,25.734968185424805,21.01463508605957,64.41917419433594,32.90391540527344,19.22670555114746,28.636066436767578,37.189998626708984,29.34000015258789,30.374177932739258,44.039894104003906,46.17059326171875,57.69609832763672,13.444290161132812,60.68109130859375,33.45614242553711
2018-03-31 00:00:00-04:00,46.17074203491211,84.1285400390625,24.975963592529297,85.52544403076172,54.26478958129883,71.8516845703125,62.19865036010742,53.90578079223633,24.80889320373535,404.5124816894531,14.683305740356445,218.33929443359375,43.16886901855469,11.198007583618164,91.24942016601562,14.654275894165039,44.58120346069336,85.25365447998047,120.469970703125,14.493511199951172,81.6334228515625,39.09779357910156,39.30451965332031,44.65180587768555,43.69228744506836,43.1107177734375,28.366464614868164,22.598297119140625,47.874351501464844,42.993858337402344,73.07534790039062,39.98917007446289,9.404047012329102,38.684513092041016,12.173155784606934,25.476272583007812,13.126412391662598,40.58992385864258,34.961570739746094,28.55617904663086,32.43077850341797,56.504817962646484,12.71523380279541,31.90787696838379,48.231266021728516,39.42162322998047,27.00459861755371,31.763072967529297,42.11000061035156,19.762962341308594,8.379884719848633,26.719158172607422,23.15558433532715,,28.16880989074707,19.660802841186523,23.56819725036621,22.013063430786133,44.5,25.735069274902344,85.11199951171875,32.04567337036133,151.2831573486328,53.851463317871094,52.09226608276367,34.49369812011719,77.44528198242188,31.91415023803711,88.17208862304688,13.755773544311523,59.82315444946289,10.275248527526855,64.34721374511719,19.586750030517578,60.00627899169922,16.73912239074707,36.068973541259766,32.681251525878906,46.63319396972656,29.470443725585938,26.943845748901367,89.9000015258789,31.229537963867188,23.061370849609375,26.351072311401367,21.227087020874023,65.68153381347656,32.22168731689453,19.16634750366211,28.691314697265625,40.529998779296875,29.149999618530273,29.996219635009766,44.3070182800293,46.02461624145508,59.483524322509766,13.635350227355957,61.221309661865234,31.984237670898438
2018-04-30 00:00:00-04:00,49.891807556152344,85.56481170654297,26.06616973876953,80.88412475585938,54.88380813598633,71.05500030517578,61.610660552978516,57.42249298095703,26.05146026611328,423.48931884765625,14.356158256530762,206.6099853515625,40.9793815612793,11.133458137512207,90.26197814941406,14.931622505187988,42.64793014526367,88.5919189453125,115.98544311523438,14.653493881225586,82.02485656738281,41.11733627319336,39.503292083740234,48.51250076293945,43.31715393066406,44.76222610473633,28.061912536621094,21.72433090209961,51.04643249511719,45.480220794677734,74.14620971679688,40.60683059692383,9.551445960998535,40.18971633911133,12.180546760559082,27.213708877563477,13.504151344299316,43.18593978881836,34.81230163574219,28.898679733276367,33.07135772705078,58.993812561035156,13.02918529510498,31.573410034179688,46.346195220947266,40.521644592285156,26.177186965942383,35.187583923339844,47.33000183105469,19.815336227416992,8.714428901672363,27.405303955078125,22.79728126525879,,27.846559524536133,21.45184898376465,24.905941009521484,23.204240798950195,45.849998474121094,25.771343231201172,90.10303497314453,31.671630859375,150.16448974609375,54.21067428588867,52.87216567993164,38.583251953125,80.50529479980469,30.590415954589844,95.13807678222656,13.999958992004395,59.68337631225586,10.017393112182617,68.32952117919922,20.84786605834961,59.576416015625,16.754642486572266,35.49044418334961,32.37879943847656,49.6264533996582,30.178329467773438,26.186025619506836,98.6500015258789,30.13104820251465,24.600496292114258,26.681127548217773,21.013521194458008,66.5588607788086,32.24585723876953,19.527658462524414,26.32802391052246,40.279998779296875,28.81999969482422,30.89504051208496,46.342002868652344,46.545166015625,60.42329788208008,12.960704803466797,61.827476501464844,31.626205444335938
2018-05-31 00:00:00-04:00,52.161590576171875,85.79426574707031,26.42108154296875,83.90099334716797,53.613616943359375,70.83711242675781,63.8675537109375,60.0657844543457,24.017290115356445,430.346923828125,14.544439315795898,195.81704711914062,42.15380859375,11.103590965270996,89.24357604980469,14.571823120117188,41.62451934814453,85.0814208984375,114.79763793945312,14.293030738830566,79.00792694091797,42.56472396850586,39.143104553222656,51.663909912109375,45.00950241088867,44.81127166748047,29.29707908630371,21.454313278198242,50.99142074584961,45.87950134277344,76.6991195678711,40.37610626220703,9.673218727111816,44.252220153808594,12.601583480834961,27.830453872680664,14.127963066101074,46.98564529418945,36.1240234375,30.88519859313965,33.65155792236328,61.62736511230469,14.28501033782959,32.9686164855957,47.5254020690918,41.82796859741211,27.037046432495117,36.63947677612305,51.060001373291016,20.851133346557617,9.864930152893066,30.9088191986084,24.53258514404297,,27.642736434936523,21.23445701599121,27.650970458984375,23.934837341308594,47.29999923706055,25.013364791870117,90.0291519165039,31.18307876586914,141.76939392089844,58.32404708862305,54.019622802734375,37.708065032958984,82.8993148803711,32.347782135009766,94.9552001953125,14.610422134399414,62.478851318359375,10.210033416748047,68.74889373779297,21.75429916381836,60.124298095703125,16.92917251586914,35.807125091552734,34.6558837890625,50.45460891723633,32.52552795410156,28.11429786682129,96.3499984741211,31.92140769958496,26.06675148010254,27.12400245666504,22.33306312561035,67.1279525756836,34.00283432006836,19.34280014038086,26.908477783203125,41.209999084472656,30.309999465942383,33.58334732055664,48.42323303222656,47.58624267578125,65.4794692993164,13.585951805114746,65.16130828857422,32.85942459106445
2018-06-30 00:00:00-04:00,51.68144607543945,80.2458267211914,25.987302780151367,82.3822021484375,54.05310821533203,68.30534362792969,61.15793991088867,56.36568832397461,22.540760040283203,395.0894775390625,13.99528980255127,191.88992309570312,39.13385009765625,11.021451950073242,86.90011596679688,14.73327922821045,39.349876403808594,85.38848876953125,108.1456069946289,13.932574272155762,76.52530670166016,41.55784225463867,39.166587829589844,51.62171173095703,46.5662727355957,43.25754165649414,28.372024536132812,21.9728946685791,46.92747116088867,45.192352294921875,74.17317962646484,39.05852127075195,9.254630088806152,42.1484260559082,12.631610870361328,28.49344253540039,13.608203887939453,46.740509033203125,36.116119384765625,30.826045989990234,34.683815002441406,62.407161712646484,14.683357238769531,33.105079650878906,47.265342712402344,41.3135871887207,27.56233024597168,37.7993278503418,52.47999954223633,20.490854263305664,9.959126472473145,30.79203224182129,24.801681518554688,,27.97394561767578,21.275365829467773,25.71900749206543,24.213998794555664,44.20000076293945,24.38042640686035,89.75439453125,29.852840423583984,140.82635498046875,53.96907424926758,50.74760818481445,37.884525299072266,78.50614929199219,31.3129940032959,90.50813293457031,15.247811317443848,57.293373107910156,10.433775901794434,68.01725006103516,21.634355545043945,56.74578094482422,17.06007194519043,31.881872177124023,33.571083068847656,50.55616760253906,31.65688133239746,28.075740814208984,91.5,31.667612075805664,24.356121063232422,25.628257751464844,22.320175170898438,66.40419006347656,32.81617736816406,19.046083450317383,27.25881004333496,40.90999984741211,28.3799991607666,31.935440063476562,49.407100677490234,47.70054244995117,65.52125549316406,13.46512222290039,57.95681381225586,30.35320472717285
2018-07-31 00:00:00-04:00,54.40371322631836,83.07972717285156,26.05421257019043,84.55155944824219,58.0675163269043,73.087158203125,62.02654266357422,55.968021392822266,23.38525390625,398.8587341308594,14.12343978881836,206.55767822265625,42.35293197631836,11.612051963806152,95.8653335571289,15.736108779907227,41.97319030761719,90.99981689453125,115.93428039550781,14.651472091674805,72.9207992553711,39.0504035949707,41.759220123291016,52.29433059692383,48.12017059326172,42.444766998291016,24.598159790039062,22.38273811340332,46.89073181152344,44.806888580322266,71.98023986816406,39.34503936767578,8.943582534790039,42.71497344970703,11.323098182678223,27.544742584228516,14.647720336914062,48.48750305175781,36.42426300048828,31.505340576171875,35.463226318359375,66.76228332519531,14.367583274841309,31.468488693237305,50.20112991333008,41.57076644897461,26.240514755249023,40.15922546386719,49.13999938964844,22.044538497924805,10.065773010253906,31.563236236572266,24.03923797607422,,26.73916244506836,21.520856857299805,26.25986671447754,23.158781051635742,43.95000076293945,26.706905364990234,91.14652252197266,30.52817153930664,143.47486877441406,55.50601577758789,50.84621810913086,41.58835220336914,79.1194076538086,31.335956573486328,92.3895492553711,15.94461727142334,58.36733627319336,9.975062370300293,64.37850952148438,21.39661407470703,58.5200080871582,17.56839942932129,33.63918685913086,31.93568229675293,52.36368942260742,32.36953353881836,28.761066436767578,90.80000305175781,34.95881271362305,24.389341354370117,25.207735061645508,21.735631942749023,64.07186126708984,33.70770263671875,19.577957153320312,27.967369079589844,39.02000045776367,25.469999313354492,33.2742919921875,52.55876922607422,51.09219741821289,74.23360443115234,12.672168731689453,58.21709060668945,29.4382266998291
2018-08-31 00:00:00-04:00,55.89302444458008,87.53548431396484,27.558862686157227,88.82755279541016,57.54249954223633,73.4942855834961,67.8548355102539,54.995304107666016,23.258806228637695,465.7143249511719,14.541852951049805,206.8882293701172,43.44863510131836,12.19115161895752,96.07605743408203,15.886906623840332,40.77662658691406,89.53341674804688,115.6963119506836,15.320660591125488,71.76473999023438,39.556114196777344,42.625762939453125,52.983158111572266,49.11970138549805,43.7501220703125,26.918577194213867,22.607013702392578,46.64278793334961,43.93105697631836,70.90528106689453,40.003231048583984,9.250658988952637,43.847694396972656,11.776613235473633,27.45943832397461,14.6100492477417,48.692806243896484,36.37774658203125,32.32221984863281,36.04779052734375,67.65435791015625,14.32811164855957,31.97573471069336,53.55512237548828,42.46070861816406,27.366504669189453,40.780029296875,41.2400016784668,22.044538497924805,10.229846000671387,34.89185333251953,24.657318115234375,,26.815902709960938,21.420185089111328,27.099411010742188,23.542497634887695,41.599998474121094,26.750144958496094,97.41144561767578,31.801496505737305,146.6199951171875,56.38475036621094,51.67991638183594,42.18330764770508,79.85890197753906,32.346553802490234,92.72401428222656,16.641416549682617,60.28178024291992,10.457100868225098,67.37847900390625,21.594736099243164,62.43247985839844,17.700153350830078,34.09071350097656,32.04656982421875,55.70304870605469,34.845069885253906,30.668102264404297,88.9000015258789,37.642189025878906,25.86252784729004,25.467954635620117,22.297100067138672,66.17334747314453,34.283138275146484,19.763689041137695,28.425846099853516,37.2400016784668,24.700000762939453,34.16960144042969,45.23577117919922,52.87499237060547,76.50093078613281,13.33306884765625,60.08246994018555,31.467071533203125
2018-09-30 00:00:00-04:00,52.520172119140625,83.45875549316406,25.895830154418945,85.45530700683594,58.311607360839844,68.00557708740234,66.74117279052734,52.375240325927734,22.065441131591797,443.4291076660156,13.626079559326172,195.728759765625,40.077247619628906,11.220974922180176,94.61703491210938,15.117786407470703,38.88936996459961,85.09256744384766,109.77206420898438,14.446773529052734,69.1801986694336,36.182071685791016,41.60166931152344,48.022254943847656,44.47031784057617,41.40411376953125,26.605276107788086,22.245365142822266,45.2531852722168,42.953880310058594,70.81617736816406,37.88224411010742,8.636507034301758,40.41295623779297,11.17557144165039,25.877470016479492,14.6100492477417,45.4493522644043,34.54852294921875,30.459312438964844,33.1249885559082,64.08304595947266,13.257096290588379,29.608592987060547,50.64742660522461,40.056297302246094,27.336647033691406,38.67433547973633,41.119998931884766,20.689346313476562,9.653157234191895,32.542240142822266,24.118362426757812,16.227951049804688,25.77566909790039,19.57007598876953,27.526758193969727,23.115163803100586,39.29999923706055,25.47879981994629,97.88018798828125,29.800386428833008,136.95973205566406,55.7847900390625,50.99861145019531,42.94584655761719,76.76673889160156,29.868946075439453,87.8517837524414,15.92464542388916,56.297142028808594,9.978370666503906,63.491947174072266,20.719255447387695,57.852630615234375,16.60213851928711,31.34503936767578,29.245901107788086,51.752254486083984,33.82378005981445,28.294044494628906,82.6500015258789,35.50792694091797,24.102893829345703,23.411378860473633,21.062055587768555,63.26577377319336,33.77952194213867,18.58455467224121,26.81768226623535,34.38999938964844,23.530000686645508,31.826311111450195,43.801029205322266,50.60160446166992,69.3630599975586,12.312718391418457,57.6400260925293,29.59735870361328
2018-10-31 00:00:00-04:00,50.51980972290039,73.54972839355469,22.8411865234375,80.38721466064453,53.207096099853516,61.88256072998047,60.82222366333008,45.49540328979492,21.466264724731445,418.5971984863281,12.824891090393066,196.71505737304688,35.55195236206055,10.873783111572266,91.41394805908203,13.802863121032715,38.129451751708984,78.78852081298828,103.565673828125,13.454824447631836,57.08247756958008,29.838096618652344,41.46244430541992,47.924530029296875,45.037193298339844,38.84473419189453,24.722017288208008,21.370685577392578,42.573917388916016,39.870697021484375,58.44063186645508,38.366111755371094,7.733205318450928,37.821746826171875,10.868463516235352,24.7998046875,13.446919441223145,44.72325897216797,32.25004959106445,27.377120971679688,29.40631675720215,61.5631217956543,12.304489135742188,25.87037467956543,49.005760192871094,37.083106994628906,23.64361000061035,37.831424713134766,36.86000061035156,19.182531356811523,8.9442138671875,29.963743209838867,23.43568229675293,13.73586368560791,25.548789978027344,16.65923500061035,28.05487060546875,20.579898834228516,35.90999984741211,23.89864730834961,94.42418670654297,28.857769012451172,137.68392944335938,46.62702178955078,43.244388580322266,43.79838562011719,68.8134994506836,28.57465171813965,82.36735534667969,14.72823429107666,48.9499626159668,9.280195236206055,57.3985595703125,18.472015380859375,54.515018463134766,14.105071067810059,27.957382202148438,27.345741271972656,50.011199951171875,31.302091598510742,26.0467586517334,65.2300033569336,34.93934631347656,22.0222110748291,20.984315872192383,19.216407775878906,62.888938903808594,30.706436157226562,16.157535552978516,23.599563598632812,30.360000610351562,20.489999771118164,28.20011329650879,39.509178161621094,46.32161331176758,66.1822509765625,11.025862693786621,50.34591293334961,23.25619888305664
2018-11-30 00:00:00-05:00,49.14632034301758,72.32289123535156,24.504531860351562,80.7292709350586,52.66252517700195,60.076759338378906,62.24521255493164,46.78471755981445,22.213884353637695,421.38372802734375,13.103005409240723,166.44451904296875,34.07768630981445,11.071072578430176,93.88640594482422,13.939676284790039,37.32366943359375,83.11028289794922,110.27567291259766,13.042542457580566,60.627811431884766,30.036705017089844,43.19963073730469,49.00779342651367,45.92558288574219,40.17396545410156,22.239543914794922,22.57392120361328,41.248077392578125,43.491249084472656,62.6636848449707,39.880149841308594,8.3840970993042,38.742427825927734,10.703679084777832,24.94035530090332,13.882627487182617,44.83061981201172,33.12261199951172,27.2303466796875,30.976747512817383,64.48776245117188,12.28861141204834,27.42317008972168,53.206729888916016,40.14900588989258,23.586164474487305,36.4824104309082,35.97999954223633,20.133955001831055,8.35892391204834,28.7346248626709,22.611848831176758,13.509307861328125,26.13995933532715,17.063562393188477,28.249866485595703,20.708675384521484,37.7400016784668,24.68077850341797,103.56533813476562,28.304214477539062,140.6804962158203,48.47532272338867,42.016258239746094,47.49527359008789,69.90708923339844,31.340444564819336,84.38615417480469,15.454333305358887,53.67647933959961,9.617518424987793,60.83258819580078,18.464046478271484,58.1700325012207,15.210481643676758,29.516685485839844,28.714658737182617,52.032894134521484,32.7894287109375,28.402503967285156,59.65999984741211,39.143104553222656,24.17673110961914,21.811203002929688,20.178007125854492,63.939231872558594,32.25520324707031,16.64124298095703,24.14429473876953,31.200000762939453,19.510000228881836,29.240894317626953,39.08184814453125,47.68144607543945,67.80198669433594,11.694761276245117,49.74604415893555,24.561031341552734
