Name,Year,Quarter,Cash and Due from Banks,Goodwill,Income Before Tax,Interest Income,Loans,Net Income,Net Interest Income,Net Loans,Non-Interest Income,Retained Earnings,Tax Expense,Total Assets,Total Liabilities,Total Stockholders Equity,Interest_Rate,Stock_Price
GNTY,2021,Mar. 31,38.5,32.2,13.3,26.5,1881.7,11.0,24.5,1877.0,6.1,86.1,2.3,2891.3,2611.2,280.1,0.125,33.411
GNTY,2021,Jun. 30,37.6,32.2,12.7,25.3,1861.4,10.4,23.5,1856.3,6.0,94.1,2.3,2933.0,2645.2,287.7,0.125,31.158
GNTY,2021,Sep. 30,34.7,32.2,11.4,25.2,1940.2,9.3,23.6,1938.3,6.4,100.9,2.2,2968.3,2670.9,297.4,0.125,32.968
GNTY,2021,Dec. 31,43.0,32.2,11.2,25.5,1880.2,9.1,24.0,1876.1,6.1,107.6,2.0,3086.1,2783.9,302.2,0.125,34.766
GNTY,2022,Mar. 31,58.8,32.2,13.0,25.9,1984.6,10.7,24.3,1983.4,6.5,115.7,2.2,3189.8,2897.9,291.9,0.375,32.556
GNTY,2022,Jun. 30,56.5,32.2,13.2,29.1,2110.5,10.8,26.9,2107.7,6.1,123.9,2.5,3280.9,2998.1,282.8,1.625,33.926
GNTY,2022,Sep. 30,48.0,32.2,13.3,32.5,2237.5,10.9,28.3,2234.8,5.8,132.2,2.4,3390.3,3101.6,288.7,3.125,32.57
GNTY,2022,Dec. 31,52.4,32.2,9.8,35.7,2347.4,8.0,28.3,2344.2,5.1,137.6,1.7,3351.5,3055.9,295.6,4.375,32.823
GNTY,2023,Mar. 31,59.0,32.2,10.1,37.1,2345.5,8.3,25.2,2344.2,4.9,143.1,1.8,3356.3,3056.0,300.3,4.875,26.576
GNTY,2023,Jun. 30,47.7,32.2,12.1,38.7,2301.7,9.6,24.7,2300.9,7.9,150.0,2.5,3206.2,2908.8,297.4,5.125,26.036
GNTY,2023,Sep. 30,47.9,32.2,7.7,39.8,2288.7,6.3,23.3,2286.2,4.9,153.7,1.4,3230.4,2933.6,296.8,5.375,27.819
GNTY,2023,Dec. 31,47.7,32.2,7.2,40.9,2291.9,5.8,23.8,2290.9,4.8,156.9,1.4,3184.8,2880.9,303.8,5.375,32.869
GNTY,2024,Mar. 31,43.9,32.2,8.4,40.8,2234.9,6.7,23.6,2234.0,5.3,160.8,1.7,3127.4,2821.5,305.9,5.375,29.885
HTBK,2018,Mar. 31,30.5,45.7,26.3,26.3,1591.2,8.8,25.8,1571.1,2.2,66.7,12.0,2785.5,2514.6,271.0,1.625,12.173
HTBK,2018,Jun. 30,46.3,84.4,30.2,30.2,1956.6,0.9,23.0,1930.0,2.8,62.9,0.9,3123.2,2776.9,346.3,1.875,12.632
HTBK,2018,Sep. 30,40.8,83.8,32.5,32.5,1899.4,12.4,32.9,1872.0,2.2,70.5,17.4,3192.9,2839.3,353.6,2.125,11.176
HTBK,2018,Dec. 31,30.3,83.8,33.0,33.0,1886.4,13.2,32.9,1858.6,2.4,79.0,18.4,3096.6,2729.1,367.5,2.375,8.558
HTBK,2019,Mar. 31,38.7,83.8,31.0,31.0,1848.3,12.1,32.1,1821.0,2.5,86.0,16.7,3115.9,2737.4,378.5,2.375,9.214
HTBK,2019,Jun. 30,36.3,83.8,30.9,30.9,1877.8,11.4,31.7,1851.1,2.8,92.1,16.0,3108.0,2719.9,388.1,2.375,9.419
HTBK,2019,Sep. 30,48.1,83.8,30.6,30.6,1875.4,11.3,31.2,1849.5,2.6,98.2,15.9,3182.5,2787.1,395.3,1.875,9.137
HTBK,2019,Dec. 31,49.4,167.4,39.3,39.3,2533.8,5.7,36.0,2510.6,2.3,96.7,7.7,4109.5,3532.8,576.7,1.625,10.065
HTBK,2020,Mar. 31,37.0,167.4,38.6,38.6,2553.9,1.9,25.3,2509.2,3.2,84.8,2.7,4078.2,3506.7,571.4,0.125,6.084
HTBK,2020,Jun. 30,40.1,167.6,34.9,34.9,2686.4,10.6,33.8,2640.9,2.1,87.7,14.9,4614.4,4039.6,574.8,0.125,6.054
HTBK,2020,Sep. 30,33.4,167.6,34.2,34.2,2697.0,11.2,34.0,2651.6,2.6,91.1,15.4,4606.8,4029.0,577.8,0.125,5.474
HTBK,2020,Dec. 31,30.6,167.6,34.2,34.2,2619.3,11.6,35.6,2574.9,2.0,94.9,16.1,4634.1,4056.2,577.9,0.125,7.426
HTBK,2021,Mar. 31,36.5,167.6,35.0,35.0,2704.7,11.2,36.5,2660.4,2.3,98.3,15.5,5001.4,4419.7,581.7,0.125,10.374
HTBK,2021,Jun. 30,41.9,167.6,34.9,34.9,2824.8,8.8,35.4,2780.8,2.2,99.3,11.8,5072.9,4489.4,583.4,0.125,9.551
HTBK,2021,Sep. 30,33.0,167.6,38.2,38.2,2832.9,13.7,38.7,2789.2,2.4,105.2,19.3,5463.0,4872.9,590.1,0.125,10.092
