Name,Year,Quarter,Cash and Due from Banks,Goodwill,Income Before Tax,Interest Income,Net Income,Net Interest Income,Non-Interest Income,Retained Earnings,Tax Expense,Total Assets,Total Liabilities,Total Stockholders Equity,Interest_Rate,Stock_Price
4,1,3,9.407480201167697,8.706344201940484,0.9113489123010369,5.191904869324224,0.6913265041359197,6.214766459187288,0.7205942563022752,7.6552057192628435,7.137322427894963,7.837244520837515,7.602078868563678,9.255807059151786,1.875,0.10381013924072405
4,1,0,9.456615989363547,8.629050302056426,1.1711133649328338,4.982436917920789,0.8843706863447187,6.143919842113253,1.0081690744965004,7.883303581438268,8.5363753766681,7.758148088872936,7.524675279376176,9.168178013392858,1.625,0.12204141103163937
4,2,2,9.468177351291981,8.647356752028966,0.26038540351458195,4.869646482549708,0.16927691461427488,6.148980314761399,0.6533309937415921,7.6082063487956955,4.425312096427033,8.499249277724687,8.312150363012062,9.460274832589286,0.125,0.04216288732238637
4,2,1,9.291866581883346,8.647356752028966,0.45081034090203465,4.4764912506847985,0.32391983477078595,6.002226607965184,0.632859566005732,7.593545994705026,5.17864829961257,9.30940951506949,9.186877603843405,9.661690848214286,0.125,0.06634634993722249
4,2,3,8.641539973408866,8.647356752028966,0.9703392461656282,4.238020044471657,0.724538406451412,5.850412428520824,0.7030473182429665,7.751791581507257,7.675419715884631,9.26731726180179,9.108602006030196,9.930245535714286,0.125,0.07853943433916555
4,2,0,9.077981386207295,8.641254602038119,0.9713741643036035,4.192903870323225,0.7494473331880313,5.916198572946714,0.7664112612349144,7.913055476504628,7.180370210934137,9.39146628132982,9.238069639634741,10.000000000000002,0.125,0.11328204661996646
4,3,2,9.005722874154575,8.643288652035068,1.1121230310682424,4.151010280042538,0.8418179365029942,5.880775264409696,0.7293677253319295,8.119593994429065,8.191993112354712,9.494106621990287,9.378360439123027,9.775041852678573,0.125,0.1679205784866079
4,3,1,9.476848372738308,8.643288652035068,1.1411007389315504,4.218684541265186,0.8573860157133812,6.042710389150347,0.721569086194459,8.326563699238523,8.47180370210934,9.424307489923299,9.283978329046812,9.919346400669644,0.125,0.17362706483895304
4,3,3,9.268743858026475,9.161971401257043,1.124542048723946,4.1187844413650865,0.8521966559765856,5.946561408835585,0.8141779259519213,8.530946282737863,8.235040895393887,9.532590967835043,9.42467948553543,9.744088309151786,0.125,0.19806237453715425
4,3,0,8.63575929244465,9.161971401257043,1.0552025334796016,4.125229609100576,0.809643906134861,5.987045190020748,0.7712854106958336,8.711613587561121,7.675419715884631,9.689164898946213,9.614418303563642,9.607195172991073,0.125,0.2057713523328411
4,4,2,8.794728018960633,9.161971401257043,0.8316602156769398,4.1091166897618505,0.6342435470311673,5.976924244724457,0.6660037823399816,8.825878112091342,6.663796814464055,9.705030440562501,9.736294332662059,8.720877511160715,0.375,0.20459811348106724
4,4,1,9.916180126018844,10.0,0.9475710471301719,4.673068866617253,0.7048188394515884,6.705632306057386,0.6582051432025111,8.96256435464259,7.6108480413258714,9.48869476085587,9.55830198376833,8.194667271205358,1.625,0.1535652947347989
4,4,3,8.849644488120699,9.997965950003051,1.0727961418251815,5.62695369146982,0.7992651866612697,7.510247457112494,0.6543058236337759,9.135470295535491,8.256564786913474,9.42768412122939,9.60523656568123,7.220720563616071,3.125,0.14597302656311043
4,4,0,10.0,9.977625450033562,1.1421356570695258,6.6388450259418,0.886446430239437,7.910024796315976,0.7147452769491723,9.338128131494752,7.890658631080499,9.519685760514506,9.676946451489135,7.478376116071429,4.375,0.15263776035460072
4,5,2,8.017226429273368,9.977625450033562,0.9413615383023202,7.086784183558377,0.7006673516621519,7.6063964374272555,0.6777017410461874,9.48602523305651,7.567800258286698,9.575423304676681,9.685563948496092,7.930472237723214,4.875,0.11915438349062515
4,5,1,7.479623099601133,9.985761650021358,1.0003518721669116,7.592729850794367,0.7452958453985947,7.302768078538535,0.7069466378117019,9.630041652653093,7.869134739560913,9.511544841201193,9.64319458821188,7.688511439732143,5.125,0.11854626492347536
4,5,3,8.181975836753569,9.985761650021358,1.0738310599631569,8.105120685765847,0.8065302902927837,7.206619098223774,0.6962235089976798,9.794323855845601,8.127421437795952,9.774783317406118,10.0,7.137015206473214,5.375,0.11530296589867642
4,5,0,9.06352968379675,9.985761650021358,0.8699521867820255,8.488608166027522,0.6716069371360961,7.090228227316431,0.7244935758710105,9.902120577100527,6.685320705983642,9.849115461363475,9.94762818783271,8.282732282366073,5.375,0.17205455622086868
4,6,2,8.063471876987109,9.983727600024409,0.879266450023803,8.359704811317716,0.6612282176625047,6.933353575223926,0.6913493595367608,10.0,7.09427464485579,9.845970106174239,9.952039525586272,8.215593610491073,5.375,0.19051310464799148
5,0,2,0.07746112492051563,0.01830644997254032,0.2037753813673338,0.016435177725500308,0.1261014416041349,0.007590708972218002,0.0028270066873330607,0.01599703343423106,4.143349117520447,0.016360472506357776,0.01639889162574211,0.014822823660714288,1.625,0.13940657456025043
5,0,1,0.0916237932828487,0.04535931493196103,0.20418934862252394,0.022880345460990617,0.1263090159936067,0.013157228885177868,0.003021972665769823,0.01729059408929018,4.145501506672406,0.027771636112007947,0.02740158869712679,0.02890450613839285,1.875,0.138208765261319
5,0,3,0.093357997572114,0.045766124931350814,0.2048102995053091,0.031581321903902546,0.12682795196728627,0.02176003238702494,0.0026320407088962976,0.018713510809855206,4.149806284976323,0.027679125665265744,0.027175892346944536,0.0299072265625,2.125,0.12470730454823548
5,0,0,0.11070004046476675,0.045766124931350814,0.20646616852606955,0.03512616415842222,0.12828097269358907,0.024796315975912156,0.003314421633424967,0.020653851792443882,4.156263452432199,0.02880775311552057,0.02829411517284751,0.03104073660714285,2.375,0.12331293167204352
5,1,2,0.10029481472917509,0.045766124931350814,0.20501728313290415,0.0367374560922948,0.1270355263567581,0.02580841050554121,0.002729523698114679,0.02207676851300891,4.149806284976323,0.03075047249710673,0.030156110061851052,0.03352573939732144,2.375,0.12104630792175788
5,1,1,0.08266373778831143,0.045766124931350814,0.2059487094570819,0.03770423125261835,0.1277620367199095,0.02732655229998482,0.003216938644206585,0.023844634741589703,4.154111063280241,0.031842095768664674,0.03137692213783687,0.03343854631696429,2.375,0.13229343010813455
